```plantuml
@startuml
class Person{ String FirstName, String LastName, String Email, String Address, String DateOfBirth, String Nationality, String MaritalStatus, String Occupation, String Education, String Language, String Disability, String Religion, String Ethnicity, String Nationality, String PassportNumber, String SocialSecurityNumber, String BankAccountNumber, String Phone, String Mobile, String Occupation, String MaritalStatus, String Education, String Language, String Disability, String Religion, String Ethnicity, String Nationality, String PassportNumber, String SocialSecurityNumber, String BankAccountNumber, String Phone, String Mobile }

class Registration{ String RegistrationDate, String RegistrationTime, String RegistrationLocation, String RegistrationMethod, String RegistrationStatus }

class Assessment{ String AssessmentDate, String AssessmentTime, String AssessmentLocation, String AssessmentMethod, String AssessmentResult, String AssessmentType }

class Stay{ String StayType, String StayDate, String StayDuration, String StayStatus, String StayCategory, String InvoiceDate, String InvoiceAmount, String InvoiceStatus }

class Bed{ String BedNumber, String BedType, String BedCategory, String BedStatus }

class Room{ String RoomNumber, String RoomType, String RoomStatus }

class Department{ String DepartmentName, String DepartmentDescription }

class Home{ String HomeName, String HomeAddress, String HomeType, String HomeStatus }

class Inhabitant{ String InhabitantID, String InhabitantName, String InhabitantDateOfBirth, String InhabitantNationality, String InhabitantMaritalStatus, String InhabitantOccupation, String InhabitantEducation, String InhabitantLanguage, String InhabitantDisability, String InhabitantReligion, String InhabitantEthnicity, String InhabitantPassportNumber, String InhabitantSocialSecurityNumber, String InhabitantBankAccountNumber, String InhabitantPhone, String InhabitantMobile, String InhabitantAddress }

class Payment{ String PaymentDate, String PaymentAmount, String PaymentMethod, String PaymentStatus }

class Invoice{ String InvoiceDate, String InvoiceAmount, String InvoiceStatus }

class Category{ String CategoryName, String CategoryDescription, String CategoryPrice }

class TypeOfStay{ String TypeOfStayName, String TypeOfStayDescription }

Home "1..*" -- "0..*" Department
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*" Inhabitant
Inhabitant "1..*" -- "1..*" Payment
Payment "1..*" -- "1..*" Invoice
Invoice "1..*" -- "1..*" Category
Category "1..*" -- "1..*" TypeOfStay
TypeOfStay "1..*" -- "1..*" Assessment
Assessment "1..*" -- "1..*" Registration
Registration "1..*" -- "1..*"
